,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
Real Madrid,26.000,35.000,29.000,33.000,33.000,32.000,19.000,17.000,26.000,30.000
Bayern Munich,33.000,27.000,28.000,29.000,22.000,29.000,20.000,36.000,27.000,26.000
Barcelona,24.000,24.000,34.000,26.000,23.000,25.000,30.000,24.000,20.000,15.000
Juventus,23.000,23.000,29.000,18.000,33.000,23.000,21.000,22.000,21.000,20.000
Chelsea,27.000,25.000,21.000,18.000,23.778,18.000,30.000,17.000,33.000,25.000
Atletico Madrid,10.000,33.000,22.000,28.000,29.000,28.000,20.000,22.000,16.000,19.000
PSG,25.000,25.000,21.000,24.000,20.000,19.000,19.000,31.000,24.000,19.000
Manchester City,7.000,19.000,15.000,26.000,18.000,22.000,25.000,25.000,35.000,27.000
Liverpool,9.000,21.875,10.000,22.000,21.875,30.000,29.000,18.000,24.000,33.000
Manchester United,18.000,23.000,20.556,13.000,26.000,20.000,19.000,22.000,26.000,18.000
Sevilla,20.333,22.000,28.000,23.000,19.000,21.000,13.000,26.000,19.000,12.000
Borussia Dortmund,30.000,22.000,18.000,17.000,22.000,10.000,18.000,18.000,22.000,10.000
Porto,20.000,16.000,25.000,11.000,17.000,17.000,23.000,7.000,23.000,10.000
Arsenal,18.000,18.000,20.000,15.000,19.000,21.000,26.000,10.000,23.000,18.889
Benfica,26.000,29.000,8.000,22.000,17.000,4.000,17.000,10.000,10.000,20.000
Ajax,9.000,10.000,14.000,6.000,22.000,1.500,27.000,13.000,19.000,22.000
Shakhtar Donetsk,17.000,11.000,17.000,20.000,14.000,19.000,10.000,22.000,14.000,6.000
Tottenham,16.000,15.000,9.000,12.000,10.000,21.000,26.000,16.000,15.000,5.000
Napoli,6.000,16.000,22.000,13.000,17.000,10.000,18.000,19.000,10.000,9.000
Roma,17.375,17.375,12.000,14.000,13.000,25.000,17.000,11.000,24.000,23.000
Lyon,12.000,15.000,1.500,7.000,22.000,14.000,17.000,23.000,14.722,21.000
Bayer Leverkusen,9.000,16.000,18.000,14.000,18.000,14.222,11.000,18.000,10.000,14.000
Villarreal,17.429,17.429,12.000,23.000,9.000,8.000,16.000,17.429,30.000,24.000
Zenit,13.000,16.000,17.000,19.000,12.000,14.000,10.000,9.000,5.000,8.000
Basel,16.000,19.000,15.000,12.000,6.000,19.000,2.500,19.000,2.500,12.000
Inter Milan,14.000,13.857,12.000,13.857,4.000,13.857,15.000,25.000,9.000,18.000
AC Milan,17.000,16.000,11.833,11.833,11.833,12.000,7.000,11.833,12.000,7.000
Salzburg,1.000,17.000,11.000,1.500,5.000,21.000,16.000,10.000,7.000,17.000
Dynamo Kyiv,9.000,8.000,16.000,18.000,8.000,12.000,11.000,6.000,10.000,5.000
Olympiacos,10.000,18.000,11.000,10.000,10.000,5.000,8.000,10.000,10.000,8.000
Schalke 04,19.000,16.000,17.000,11.000,18.000,16.333,17.000,16.333,16.333,16.333
Valencia,19.000,22.000,19.0,14.000,19.0,19.0,23.000,17.000,19.0,19.0
Lazio,18.000,10.000,11.875,14.000,11.875,17.000,6.000,4.000,17.000,9.000
Galatasaray,22.000,15.000,5.000,9.000,9.222,0.500,8.000,6.000,2.500,15.000
Sporting Lisbon,4.000,9.167,10.000,7.000,6.000,17.000,10.000,10.000,2.500,16.000
Leipzig,16.6,16.6,16.6,16.6,16.6,17.000,5.000,27.000,17.000,17.000
PSV,5.000,5.000,6.000,18.000,6.000,1.000,6.000,6.000,10.000,10.000
Frankfurt,18.25,12.000,18.25,18.25,18.25,18.25,24.000,9.000,18.25,28.000
Monaco,12.833,12.833,21.000,5.000,25.000,6.000,5.000,12.833,12.833,15.000
Celtic,16.000,6.000,7.000,3.000,7.000,8.000,6.000,10.000,3.000,6.000
Braga,6.000,1.500,8.167,15.000,5.000,9.000,2.000,10.000,9.000,16.000
Copenhagen,6.000,7.000,3.000,1.000,16.000,7.000,4.000,14.000,2.500,13.000
Besiktas,7.889,0.000,11.000,7.000,20.000,19.000,5.000,3.000,2.000,4.000
Club Brugge,3.000,1.000,19.000,4.000,4.000,1.500,11.000,8.000,11.000,7.000
Marseille,4.000,4.000,8.714,9.000,8.714,19.000,3.000,8.714,6.000,16.000
Atalanta,13.3,13.3,13.3,13.3,13.3,11.000,2.500,20.000,17.000,16.000
Anderlecht,8.000,5.000,10.000,11.000,16.000,6.000,3.000,7.688,7.688,2.500
CSKA,1.500,6.000,8.000,7.000,7.000,17.000,9.000,4.000,3.000,6.944
Feyenoord,1.500,1.500,9.000,6.333,5.000,6.000,2.000,4.000,4.000,24.000
Wolfsburg,12.5,12.5,16.000,24.000,12.5,12.5,12.5,12.000,2.500,8.000
Monchengladbach,9.000,9.833,9.000,8.000,12.000,9.833,9.833,6.000,15.000,9.833
Young Boys,7.000,6.611,8.000,1.500,6.000,5.000,7.000,6.000,11.000,8.000
Fenerbahce,22.000,0.000,8.357,12.000,10.000,1.500,8.000,8.357,8.357,5.000
AZ Alkmaar,1.500,16.000,6.875,3.000,6.000,6.875,1.500,8.000,6.000,13.000
